street_number,street_name,street_suffix,unit_number,city,state,postal_code,listing_id,lat,lng
146,Mission,,,,AZ,85010,569574,33.59221162384945,-112.20431524103323
983,Mission,,,,AZ,85009,283103,33.63883861213779,-112.03796372544653
455,Turk,,,,AZ,85012,212657,33.4231301097442,-112.21784898942298
16,Franklin,,,,AZ,85013,722389,33.65051507984047,-112.05578572494312
997,Euclid,,,,AZ,85018,124407,33.658550580136904,-112.30372450116712
136,4th,,,,AZ,85015,487571,33.39960921928798,-112.34464228248044
739,9th,,,Phoenix,AZ,85011,486230,33.670860681330325,-112.00722150438912
854,Pine,Trl,,,AZ,85021,919239,33.548769471732136,-112.19303409251695
739,9th,,,,AZ,85011,816976,33.670889750161216,-112.00670704946423
815,Blake,,,,AZ,85015,253473,33.665594785501376,-111.89431380996378
451,Euclid,,,,AZ,85014,813933,33.41818829722272,-112.02901514638776
704,Wall,,19,,AZ,85015,339752,33.40966578069729,-112.18196847298663
636,Bush,,,,AZ,85015,893293,33.41913111150515,-112.1593425118899
35,Franklin,,,,AZ,85017,833366,33.638646577182136,-112.02744048254098
907,5th,,,,AZ,85019,40751,33.526886839329954,-112.21792532654781
742,7th,,31,,AZ,85022,1570,33.574358702256035,-112.32676402536772
298,8th,,,,AZ,85020,562471,33.4502900197251,-112.12510166988552
15,5th,,,,AZ,85015,840008,33.50241064919578,-112.27229561062853
481,4th,Pl,,,AZ,85015,982456,33.59723083803209,-112.14924569120733
282,9th,Way,,,AZ,85017,134656,33.46224618795046,-112.24175946836078
523,4th,,,,AZ,85016,923368,33.445031702609654,-111.8934097685079
615,3rd,,,,AZ,85017,837481,33.42284797706105,-112.26468061140659
543,5th,Cir,,,AZ,85023,505394,33.432510674243716,-112.02547651769157
958,Wall,,,,AZ,85015,640971,33.51685652300907,-112.23138453137247
301,Texas,Blvd,,,AZ,85014,610582,33.42025986093957,-112.19921271039131
503,Bush,,,,AZ,85013,229132,33.51067815907941,-111.92879576113936
631,Mission,,,,AZ,85009,977689,33.491046780614084,-112.17963507125823
672,Wall,,,,AZ,85021,261846,33.52905500576509,-112.28635885421726
707,Post,,,,AZ,85018,383155,33.56693031189862,-112.2120369313219
570,Franklin,,,,AZ,85009,378474,33.538086119614086,-112.02979251520604
793,5th,,,Goodyear,AZ,85013,397720,33.4805736804086,-111.98324482568043
535,Sutter,Wl,,,AZ,85022,173458,33.51003534880044,-112.07046789658142
242,Turk,Blvd,,,AZ,85016,745418,33.63589792962671,-112.2674733752789
402,Pine,,,,AZ,85010,91886,33.61002494406219,-112.31609077312942
11,Sutter,Wl,,,AZ,85009,843157,33.54055799856842,-111.973617106459
100,Indiana,,,,AZ,85007,817115,33.604034060432056,-112.00364959135709
440,Indiana,,,,AZ,85020,432233,33.51978833740933,-112.16526237987833
265,Page,,8,,AZ,85016,826542,33.571223255605595,-112.3235234090848
136,Mission,,,,AZ,85022,683338,33.482754765978655,-112.02209627665324
624,9th,,,,AZ,85019,90102,33.61391177914296,-111.94366584784954
859,Turk,,,,AZ,85012,68542,33.457331860774424,-112.35108225936935
914,California,Pl,,,AZ,85011,62622,33.64116673817061,-112.28983371389563
729,5th,Pl,,,AZ,85020,882312,33.47966051506021,-112.12342945695426
276,Indiana,,,,AZ,85020,100807,33.565330416461684,-112.00724844278777
10,Texas,Rd,,,AZ,85009,355758,33.485009935362086,-111.99519716166508
987,Post,,,,AZ,85022,67361,33.55224163651989,-112.12592049647495
766,6th,,,Goodyear,AZ,85016,328671,33.55687396604483,-111.9167314506486
956,Sutter,,,,AZ,85010,446094,33.40904330459283,-112.13704344233095
524,Texas,,,,AZ,85020,470388,33.63581273097545,-112.23470554386856
666,5th,,,,AZ,85013,210354,33.416034009355634,-112.06622607692317
866,Geary,,,,AZ,85014,498342,33.60836660807891,-112.00116009820914
469,Mission,,,,AZ,85010,825382,33.44775448237563,-112.2424542285564
762,6th,,,,AZ,85017,734854,33.53565976843388,-112.22383852098781
155,8th,,,,AZ,85020,567274,33.62711162373194,-112.18813873296145
